trade_date,rth_open,on_high,on_low,pd_high,pd_low,pd_close,roll,symbol
2024-01-29,17548.0,17591.5,17457.5,17632.0,17503.5,17529.25,0,NQH4
2024-01-30,17661.75,17735.75,17645.25,17716.25,17519.75,17708.0,0,NQH4
2024-01-31,17400.0,17468.75,17333.75,17684.75,17548.25,17583.75,0,NQH4
2024-02-01,17307.0,17363.75,17262.75,17484.0,17230.5,17238.75,0,NQH4
2024-02-02,17507.75,17643.25,17483.25,17453.25,17264.0,17440.25,0,NQH4
2024-02-05,17722.75,17739.25,17664.0,17775.5,17465.5,17729.75,0,NQH4
2024-02-06,17741.0,17769.0,17670.5,17745.5,17554.25,17697.25,0,NQH4
2024-02-07,17773.5,17779.5,17629.75,17767.75,17560.75,17661.75,0,NQH4
2024-02-08,17835.75,17862.5,17792.25,17875.5,17718.75,17841.25,0,NQH4
2024-02-09,17909.0,17972.0,17852.25,17896.5,17808.0,17865.5,0,NQH4
2024-02-12,18029.75,18059.25,18003.0,18071.0,17875.0,18039.0,0,NQH4
2024-02-13,17628.0,17963.25,17615.75,18121.5,17936.25,17963.5,0,NQH4
2024-02-14,17788.75,17811.75,17669.25,17791.75,17542.0,17680.5,0,NQH4
2024-02-15,17888.0,17933.5,17844.0,17887.0,17690.25,17869.25,0,NQH4
2024-02-16,17926.75,18026.0,17903.0,17933.0,17780.5,17914.0,0,NQH4
2024-02-19,17789.25,17803.5,17726.25,17930.0,17717.0,17747.0,0,NQH4
2024-02-20,17661.25,17793.0,17614.0,17807.5,17772.5,17788.75,0,NQH4
2024-02-21,17494.75,17590.0,17480.5,17724.0,17452.5,17612.5,0,NQH4
2024-02-22,17896.0,17925.75,17676.0,17542.5,17372.75,17537.0,0,NQH4
2024-02-23,18105.5,18113.0,17999.25,18087.0,17864.0,18044.75,0,NQH4
2024-02-26,18017.25,18028.0,17922.0,18144.75,17946.0,17986.5,0,NQH4
2024-02-27,18018.25,18040.25,17927.5,18059.5,17966.0,17977.5,0,NQH4
2024-02-28,17923.75,18019.75,17892.25,18032.5,17908.75,18017.75,0,NQH4
2024-02-29,18030.0,18035.0,17826.0,17975.0,17876.0,17917.5,0,NQH4
2024-03-01,18096.5,18163.0,18029.5,18109.5,17898.25,18067.0,0,NQH4
2024-03-04,18330.25,18377.75,18310.75,18372.75,18093.75,18335.0,0,NQH4
2024-03-05,18133.75,18252.0,18107.25,18346.5,18252.25,18258.5,0,NQH4
2024-03-06,18104.25,18105.75,17942.5,18135.25,17832.5,17931.75,0,NQH4
2024-03-07,18182.25,18188.5,17915.75,18174.25,17963.5,18044.25,0,NQH4
2024-03-08,18318.0,18375.25,18211.0,18360.0,18118.75,18309.25,0,NQH4
2024-03-11,18224.5,18304.0,17973.75,18436.5,18012.5,18040.5,1,NQH4
2024-03-12,18311.5,18381.0,18204.0,18271.25,18138.0,18216.25,0,NQM4
2024-03-13,18428.25,18506.75,18412.0,18491.0,18174.0,18475.75,0,NQM4
2024-03-14,18375.25,18428.25,18337.5,18429.75,18281.75,18330.5,0,NQM4
2024-03-15,18152.5,18322.75,18130.0,18398.0,18161.25,18278.25,0,NQM4
2024-03-18,18284.0,18296.0,18062.25,18174.5,18006.25,18058.5,0,NQM4
2024-03-19,18143.25,18252.75,18077.75,18381.0,18219.0,18229.5,0,NQM4
2024-03-20,18318.0,18331.25,18227.5,18289.25,18053.25,18270.0,0,NQM4
2024-03-21,18687.5,18695.75,18526.75,18497.75,18244.75,18484.5,0,NQM4
2024-03-22,18537.5,18607.0,18492.0,18709.0,18552.5,18558.75,0,NQM4
2024-03-25,18459.25,18601.25,18456.5,18626.0,18500.0,18572.0,0,NQM4
2024-03-26,18568.75,18619.0,18516.75,18571.75,18414.75,18509.5,0,NQM4
2024-03-27,18566.5,18571.75,18468.0,18608.5,18439.25,18450.5,0,NQM4
2024-03-28,18500.0,18527.75,18459.25,18571.75,18378.5,18506.75,0,NQM4
2024-04-01,18500.5,18612.0,18478.0,18538.75,18448.75,18463.0,0,NQM4
2024-04-02,18287.5,18511.0,18269.0,18607.0,18414.5,18495.25,0,NQM4
2024-04-03,18240.5,18345.0,18232.5,18347.0,18201.5,18330.5,0,NQM4
2024-04-04,18541.25,18552.0,18378.0,18451.75,18239.5,18370.5,0,NQM4
2024-04-05,18138.0,18190.25,18051.5,18568.0,18069.25,18075.0,0,NQM4
2024-04-08,18330.25,18372.25,18246.5,18408.25,18102.5,18293.25,0,NQM4
2024-04-09,18391.25,18395.5,18253.5,18376.0,18237.5,18297.0,0,NQM4
2024-04-10,18140.0,18474.25,18053.5,18405.0,18160.75,18362.25,0,NQM4
2024-04-11,18265.25,18286.25,18088.0,18234.0,18107.75,18191.5,0,NQM4
