QQQ   261231C00765000	355
QQQ   260612P00560000	273
QQQ   270617C00440000	20
QQQ   270115P00895000	
QQQ   280121C00395000	34
QQQ   260522P00850000	
QQQ   260512C00639000	
QQQ   261016C00795000	7
QQQ   260513P00645000	378
QQQ   260605C00608000	2
QQQ   271217C00285000	14
QQQ   260612C00490000	
QQQ   270617P00935000	
QQQ   261218C00510000	4045
QQQ   260717P00770000	
QQQ   261231P00585000	2542
QQQ   260522C00780000	11
QQQ   280121P00520000	1060
QQQ   260513C00575000	
QQQ   270617P00260000	68
QQQ   281215P00860000	
QQQ   260630P00698000	
QQQ   260630P00554000	50
QQQ   260630P00410000	881
QQQ   270115P00950000	1
QQQ   260618P00855000	
QQQ   270617C00865000	195
QQQ   280121C00450000	222
QQQ   261218P00330000	466
QQQ   260505C00611000	3
QQQ   260507C00629000	
QQQ   281215C00790000	42
QQQ   260630C00340000	
QQQ   260630C00484000	
QQQ   270115C00880000	432
QQQ   260618C00785000	1589
QQQ   260508P00635000	34206
QQQ   261218C00935000	77
QQQ   260618C00641000	29
QQQ   261218P00499780	825
QQQ   260731P00624000	
QQQ   261231P00640000	216
QQQ   260618C00584780	4343
QQQ   280616C00633000	8
QQQ   270617P00685000	292
QQQ   261218C00260000	2
QQQ   260515C00648000	332
QQQ   260506C00691000	277
QQQ   260630P00835000	
QQQ   260508C00565000	157
QQQ   260505P00575000	2418
QQQ   260731C00698000	8
QQQ   261231C00570000	114
QQQ   261218P00755000	2
QQQ   260630C00765000	512
QQQ   260630C00621000	55
QQQ   260529C00619000	272
QQQ   260513P00676000	43
QQQ   260605C00639000	16
QQQ   260508P00385000	1934
QQQ   261218C00685000	4065
QQQ   260731C00835000	
QQQ   260630P00585000	2643
QQQ   270917P00410000	86
QQQ   260512C00725000	51
QQQ   260505C00642000	29
QQQ   260511P00609000	3
QQQ   270331P00557000	1
QQQ   260515P00605000	14646
QQQ   260508P00666000	1095
QQQ   260821C00600000	1152
QQQ   260508P00522000	145
QQQ   270917C00340000	
QQQ   260618C00672000	150
QQQ   260731P00655000	90
QQQ   260717P00608000	313
QQQ   280616C00520000	114
QQQ   270319C00500000	62
QQQ   260515C00535000	15
QQQ   260515C00679000	1700
QQQ   260512P00545000	
QQQ   260512P00627000	21
QQQ   270917P00835000	1
QQQ   260508C00596000	78
QQQ   260731C00585000	
QQQ   280121C00700000	4060
QQQ   260821P00420000	671
QQQ   260630C00652000	7
QQQ   270917C00765000	1837
QQQ   260918P00755000	1
QQQ   280616P00340000	4
QQQ   270319P00320000	302
QQQ   260515P00355000	2263
QQQ   280616C00945000	300
QQQ   260821C00350000	4
QQQ   270319C00925000	42
QQQ   260918C00685000	9080
QQQ   261231C00820000	15
QQQ   271217P00410000	363
QQQ   260507P00617000	21
QQQ   260630P00472000	10
QQQ   270917P00585000	572
QQQ   260512C00612000	
QQQ   260930P00735000	2
QQQ   261016C00850000	2226
QQQ   270331P00588000	14
QQQ   260513P00700000	
QQQ   280616P00765000	2
QQQ   260505C00673000	3247
QQQ   280616P00621000	2
QQQ   271217C00340000	29
QQQ   260515P00636000	1060
QQQ   270319P00745000	4
QQQ   260508P00697000	
QQQ   260821C00775000	744
QQQ   260508P00553000	199
QQQ   260731P00686000	1
QQQ   280121P00945000	
QQQ   260930C00665000	613
QQQ   260513C00630000	34
QQQ   271217P00835000	
QQQ   280616C00695000	122
QQQ   260515C00566000	247
QQQ   270319C00675000	789
QQQ   260512P00658000	119
QQQ   260529P00607000	515
QQQ   270617C00920000	22
QQQ   261016P00670000	287
QQQ   260605P00627000	67
QQQ   260717C00425000	1
QQQ   260717C00569000	
QQQ   280121C00875000	57
QQQ   270331P00725000	355
QQQ   260821P00595000	1891
QQQ   271217C00765000	136
QQQ   260930P00485000	235
QQQ   281215C00515000	555
QQQ   260630C00683000	7
QQQ   261218P00554780	2800
QQQ   260618C00840000	1273
QQQ   260918P00560000	17519
QQQ   260605C00557000	
QQQ   270319P00495000	247
QQQ   260618C00309780	344
QQQ   270617P00740000	224
QQQ   270331C00655000	224
QQQ   280121P00695000	17
QQQ   260918C00490000	893
QQQ   261218C00484780	429
QQQ   260508C00620000	2284
QQQ   260505P00630000	5405
QQQ   271217P00585000	546
QQQ   260612P00790000	
QQQ   260507P00648000	441
QQQ   281215P00335000	1
QQQ   270617C00670000	979
QQQ   260618P00660000	12040
QQQ   261218P00810000	
QQQ   260630C00820000	17563
QQQ   260512C00643000	
QQQ   270331P00475000	5
QQQ   260507C00578000	8
QQQ   260515P00667000	838
QQQ   260515P00523000	632
QQQ   260508P00440000	90
QQQ   260508P00584000	925
QQQ   261218C00740000	8368
QQQ   260618C00590000	11009
QQQ   280121P00750000	475
QQQ   260522C00618000	111
QQQ   260513C00661000	14
QQQ   270617P00490000	336
QQQ   260515C00597000	1368
QQQ   260512P00689000	
QQQ   260630P00640000	2242
QQQ   260529P00638000	245
QQQ   260508C00370000	
QQQ   260605P00658000	331
QQQ   261218P00560000	10806
QQQ   260507C00715000	473
QQQ   260630C00570000	4393
QQQ   260529C00568000	135
QQQ   260731P00710000	4
QQQ   260605C00588000	1
QQQ   261218C00490000	465
QQQ   260512P00600000	139
QQQ   260508C00651000	252
QQQ   260505P00661000	6353
QQQ   260731C00640000	7
QQQ   260507P00679000	41
QQQ   260630P00390000	114
QQQ   260618P00691000	
QQQ   260512C00530000	
QQQ   260512C00674000	282
QQQ   260529C00705000	1802
QQQ   270917C00820000	202
QQQ   260918P00810000	
QQQ   260513P00680000	4
QQQ   260505C00591000	1
QQQ   260605C00725000	490
QQQ   260515P00698000	
QQQ   260515P00410000	892
QQQ   260515P00554000	488
QQQ   260731P00460000	1106
QQQ   260717P00557000	618
QQQ   260522C00649000	250
QQQ   260522C00505000	1
QQQ   260918C00740000	2371
QQQ   260513C00692000	29
QQQ   260515C00340000	1
QQQ   260612P00628000	30
QQQ   260630P00671000	14
QQQ   270917P00640000	679
QQQ   260529P00669000	86
QQQ   260529P00525000	818
QQQ   260821P00900000	
QQQ   260605P00689000	22
QQQ   260605P00545000	82
QQQ   280616P00820000	
QQQ   260507C00602000	
QQQ   260515P00835000	
QQQ   270319P00800000	2
QQQ   260529C00599000	123
QQQ   260522P00325000	350
QQQ   270917C00570000	1531
QQQ   260821C00830000	1131
QQQ   260529C00455000	1
QQQ   270115C00605000	1563
QQQ   260605C00475000	
QQQ   260930C00720000	578
QQQ   260511C00625000	9
QQQ   280616C00750000	285
QQQ   270331C00573000	
QQQ   270319C00730000	2136
QQQ   260515C00621000	1218
QQQ   260515C00765000	1005
QQQ   260512P00631000	66
QQQ   260508C00682000	2106
QQQ   260514P00649000	12
QQQ   260514P00505000	
QQQ   260505P00692000	
QQQ   260731C00671000	17
QQQ   260518P00645000	194
QQQ   280121C00930000	289
