id,entryTime,exitTime,side,levelType,levelPrice,entryPrice,barsHeld,exitReason,pnl_pts,mfe_pts,mae_pts,won,entry_gamma_flip,entry_gamma_flip_dist_raw,entry_total_gex,entry_gamma_imbalance,entry_regime,entry_in_dir_wall,entry_in_dir_wall_dist,entry_in_dir_wall_strength,entry_opp_wall,entry_opp_wall_dist,entry_opp_wall_strength,entry_iv,entry_skew,snapshots_during_trade,gamma_flip_drift_raw,gamma_flip_drift_signed_dir,in_dir_wall_strength_pct_change,opp_wall_strength_pct_change,in_dir_wall_move_raw,opp_wall_move_raw,total_gex_change_pct,gamma_imbalance_change,regime_changed,exit_regime,iv_change,skew_change
T000222,2025-04-08T17:10:00.000Z,2025-04-08T17:22:12.000Z,long,S4,17564.7600,17581.7500,12.0000,trailing_stop,4.7500,94.7500,38.7500,1.0000,,,-3014198884.0694,-0.8492,negative,16310.1300,1271.6200,272877290.7594,18233.8900,652.1400,27557521.8944,[object Object],-0.1510,1.0000,,,0.0812,-0.2648,-155.7800,-174.1600,0.0270,-0.0471,0.0000,negative,0.0115,0.3294
T000223,2025-04-08T17:48:00.000Z,2025-04-08T18:01:52.000Z,long,S5,17603.7300,17613.2500,13.0000,trailing_stop,4.7500,72.0000,29.0000,1.0000,,,-3026959331.4541,-0.8244,negative,16154.0200,1459.2300,254673935.0016,18059.3600,446.1100,34122735.5339,[object Object],-0.0650,1.0000,,,0.1215,-0.3189,139.6400,156.1100,0.0175,-0.0529,0.0000,negative,0.0826,0.2074
T000224,2025-04-08T19:17:00.000Z,2025-04-08T19:27:34.000Z,long,S4,17187.5000,17173.2500,10.0000,take_profit,119.7500,118.0000,36.5000,1.0000,,,-2672352326.8431,-0.9581,negative,16152.1100,1021.1400,349865212.8895,18057.2300,883.9800,8407292.8475,[object Object],-0.0716,0.0000,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,negative,-0.0420,0.0407
T000225,2025-04-09T13:41:00.000Z,2025-04-09T13:42:18.000Z,long,S5,17458.4500,17475.2500,1.0000,trailing_stop,4.7500,78.7500,21.2500,1.0000,,,-4901818385.1365,-0.7003,negative,17333.1500,142.1000,305922867.5919,19630.3200,2155.0700,35696013.2288,[object Object],-0.0133,0.0000,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,negative,-0.0987,-0.0879
T000226,2025-04-09T14:12:04.000Z,2025-04-09T14:14:13.000Z,long,S5,17455.2200,17449.0000,2.0000,stop_loss,-81.5000,20.0000,76.7500,0.0000,,,-4910142968.3215,-0.7036,negative,17329.9400,119.0600,309926315.8598,19626.6800,2177.6800,35701311.6681,[object Object],-0.2474,0.0000,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,negative,0.1384,0.2217
T000227,2025-04-09T14:50:00.000Z,2025-04-09T14:52:08.000Z,long,S1,17353.4600,17375.0000,2.0000,stop_loss,-80.5000,17.0000,73.2500,0.0000,,,-5460083176.2545,-0.8450,strong_negative,17353.4600,21.5400,1064468896.4338,19026.0800,1651.0800,36298878.3186,[object Object],-0.1773,0.0000,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,strong_negative,0.0145,-0.0009
T000228,2025-04-09T15:33:00.000Z,2025-04-09T15:41:11.000Z,long,S2,17391.3300,17381.9500,8.0000,stop_loss,-75.9500,5.8000,70.9500,0.0000,,,-5228230425.3065,-0.8114,strong_negative,17349.5200,32.4300,622414662.8214,19021.7700,1639.8200,36200691.8397,[object Object],-0.1628,0.0000,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,strong_negative,0.1831,-0.0012
T000229,2025-04-09T16:11:09.000Z,2025-04-09T16:35:37.000Z,long,S1,17395.9000,17393.2500,24.0000,take_profit,119.7500,118.5000,7.0000,1.0000,,,-4608249552.8748,-0.7986,negative,17395.9000,-2.6500,1271908789.7973,19466.8400,2073.5900,35267158.6370,[object Object],-0.0535,2.0000,,,-0.0303,-0.0014,-0.5300,-0.6000,-0.0067,-0.0008,0.0000,negative,-0.1129,0.2053
T000230,2025-04-09T17:01:00.000Z,2025-04-09T17:02:05.000Z,long,S3,17561.3900,17545.2500,1.0000,take_profit,123.7500,118.2500,12.0000,1.0000,,,-5162321016.7080,-0.7249,strong_negative,17395.7100,149.5400,898047920.7855,19466.6300,1921.3800,34261236.3368,[object Object],-0.1198,0.0000,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,strong_negative,0.2086,0.1121
T000231,2025-04-09T17:46:03.000Z,2025-04-09T17:46:28.000Z,long,S2,18565.7500,18561.2500,0.0000,take_profit,119.7500,119.5000,3.7500,1.0000,,,-1874372749.3111,-0.4672,negative,18774.3500,-213.1000,362199636.6090,19817.3700,1256.1200,61981124.4854,[object Object],-0.1678,0.0000,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,negative,0.0000,0.0000
