date,quarter,tod,dir,exc,entry,stop,target,outcome,pnl,R,risk,mfe,mae
2025-01-21,2025Q1,683,-1,70.5,21638.0,21660.25,21604.62,stop,-23.75,-1.067,22.25,32.75,26.0
2025-01-21,2025Q1,685,-1,70.5,21626.5,21660.25,21575.88,stop,-35.25,-1.044,33.75,21.25,37.5
2025-01-21,2025Q1,739,-1,76.8,21658.5,21686.0,21617.25,stop,-29.0,-1.055,27.5,2.75,27.75
2025-01-21,2025Q1,783,-1,94.5,21730.75,21748.25,21704.5,stop,-19.0,-1.086,17.5,1.25,17.75
2025-01-21,2025Q1,786,-1,96.2,21731.5,21750.0,21703.75,stop,-20.0,-1.081,18.5,2.0,24.5
2025-01-21,2025Q1,792,-1,99.8,21743.75,21753.5,21729.12,stop,-11.25,-1.154,9.75,0.25,12.25
2025-01-21,2025Q1,808,-1,86.2,21748.75,21776.0,21707.88,timeout,8.25,0.303,27.25,37.0,14.75
2025-01-21,2025Q1,816,1,28.8,21756.75,21739.25,21783.0,stop,-19.0,-1.086,17.5,5.75,20.0
2025-01-21,2025Q1,817,-1,76.0,21753.5,21776.0,21719.75,target,33.75,1.5,22.5,34.25,10.0
2025-01-21,2025Q1,866,1,51.8,21743.0,21707.75,21795.88,stop,-36.75,-1.043,35.25,4.0,35.25
2025-01-21,2025Q1,871,-1,35.2,21724.25,21751.0,21684.12,stop,-28.25,-1.056,26.75,27.25,26.75
2025-01-21,2025Q1,881,1,54.5,21715.5,21705.0,21731.25,stop,-12.0,-1.143,10.5,2.75,10.5
2025-01-21,2025Q1,882,-1,35.2,21714.5,21751.0,21659.75,stop,-38.0,-1.041,36.5,17.5,36.5
2025-01-21,2025Q1,886,1,56.0,21713.75,21703.5,21729.12,stop,-11.75,-1.146,10.25,4.5,11.75
2025-01-21,2025Q1,889,-1,35.2,21714.25,21751.0,21659.12,stop,-38.25,-1.041,36.75,17.25,36.75
2025-01-21,2025Q1,890,1,56.0,21710.0,21703.5,21719.75,stop,-8.0,-1.231,6.5,1.5,8.0
2025-01-21,2025Q1,895,1,66.5,21720.75,21693.0,21762.38,eod,-1.0,-0.036,27.75,34.75,6.0
2025-01-22,2025Q1,623,-1,138.0,22014.25,22041.0,21974.12,stop,-28.25,-1.056,26.75,15.75,27.5
2025-01-22,2025Q1,734,-1,90.8,22063.75,22097.5,22013.12,timeout,25.25,0.748,33.75,28.75,11.75
2025-01-22,2025Q1,818,1,60.0,22030.25,22006.5,22065.88,timeout,-17.5,-0.737,23.75,21.0,21.0
2025-01-22,2025Q1,889,1,44.8,22030.0,22002.5,22071.25,stop,-29.0,-1.055,27.5,12.0,27.5
2025-01-22,2025Q1,907,-1,35.5,22026.75,22046.0,21997.88,eod,15.25,0.792,19.25,25.5,4.5
2025-01-22,2025Q1,908,1,38.2,22026.5,22002.5,22062.5,stop,-25.5,-1.062,24.0,4.5,24.0
2025-01-22,2025Q1,912,-1,35.5,22015.25,22046.0,21969.12,eod,3.75,0.122,30.75,14.0,13.5
2025-01-22,2025Q1,932,1,28.0,22022.5,22010.0,22041.25,stop,-14.0,-1.12,12.5,5.5,12.5
2025-01-22,2025Q1,933,-1,35.5,22024.0,22046.0,21991.0,eod,12.5,0.568,22.0,22.75,4.0
2025-01-22,2025Q1,935,1,28.0,22026.0,22010.0,22050.0,stop,-17.5,-1.094,16.0,0.0,16.0
2025-01-22,2025Q1,937,-1,35.5,22012.5,22046.0,21962.25,eod,1.0,0.03,33.5,11.25,2.25
2025-01-23,2025Q1,570,1,52.0,21868.25,21863.5,21875.38,target,7.12,1.5,4.75,7.75,1.5
2025-01-23,2025Q1,571,-1,31.2,21877.75,21911.75,21826.75,stop,-35.5,-1.044,34.0,11.75,34.0
2025-01-23,2025Q1,574,1,38.5,21898.0,21862.0,21952.0,timeout,21.75,0.604,36.0,26.0,29.75
2025-01-23,2025Q1,597,-1,52.0,21884.5,21922.0,21828.25,stop,-39.0,-1.04,37.5,16.25,39.0
2025-01-23,2025Q1,599,1,38.8,21897.5,21875.25,21930.88,stop,-23.75,-1.067,22.25,7.0,22.75
2025-01-23,2025Q1,669,-1,66.2,21919.25,21951.0,21871.62,stop,-33.25,-1.047,31.75,22.5,33.75
2025-01-23,2025Q1,671,1,50.2,21914.0,21892.75,21945.88,target,31.88,1.5,21.25,32.0,10.25
2025-01-23,2025Q1,672,-1,66.2,21913.75,21951.0,21857.88,stop,-38.75,-1.04,37.25,7.0,39.25
2025-01-23,2025Q1,681,-1,64.2,21917.0,21951.0,21866.0,stop,-35.5,-1.044,34.0,5.25,36.0
2025-01-23,2025Q1,683,1,50.2,21931.25,21892.75,21989.0,timeout,3.0,0.078,38.5,40.25,19.5
2025-01-23,2025Q1,686,-1,64.2,21932.75,21951.0,21905.38,stop,-19.75,-1.082,18.25,0.5,20.25
2025-01-23,2025Q1,697,-1,65.5,21943.5,21966.25,21909.38,stop,-24.25,-1.066,22.75,8.0,26.5
2025-01-23,2025Q1,707,-1,74.8,21956.5,21975.5,21928.0,target,28.5,1.5,19.0,30.0,9.25
2025-01-23,2025Q1,712,-1,74.8,21943.75,21975.5,21896.12,timeout,8.5,0.268,31.75,43.5,15.5
2025-01-23,2025Q1,738,1,51.2,21944.75,21916.25,21987.5,stop,-30.0,-1.053,28.5,1.75,31.5
2025-01-23,2025Q1,742,-1,59.8,21938.25,21975.5,21882.38,timeout,-31.25,-0.839,37.25,38.0,31.75
2025-01-23,2025Q1,772,1,59.0,21934.0,21896.25,21990.62,timeout,30.5,0.808,37.75,51.0,6.0
2025-01-23,2025Q1,828,-1,61.5,21959.25,21989.0,21914.62,timeout,7.5,0.252,29.75,35.5,6.5
2025-01-23,2025Q1,868,1,61.2,21946.5,21919.75,21986.62,timeout,20.5,0.766,26.75,32.25,3.0
2025-01-23,2025Q1,869,-1,29.0,21945.25,21956.75,21928.0,stop,-13.0,-1.13,11.5,0.0,11.5
2025-01-23,2025Q1,871,1,61.2,21958.25,21919.75,22016.0,timeout,5.25,0.136,38.5,20.5,14.75
2025-01-23,2025Q1,932,-1,35.2,21966.0,21982.75,21940.88,eod,6.0,0.358,16.75,8.25,12.75
