Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
3112,Exit short,2023-01-23 10:00,1=14303.21|2=14562.49|3=14398.01|4=14482.9|5=14364.11|S=1|T=20230123T1500,15136.75,1,299590,-3145,-1.05,185,0.06,-3640,-1.21,-57525,-0.01,1
3112,Entry short,2023-01-23 06:00,1=14434.83|2=14668.58|3=14447.36|4=14524.77|5=14399.77|S=1|T=20230123T1100,14979.5,1,299590,-3145,-1.05,185,0.06,-3640,-1.21,-57525,-0.01,1
3113,Exit long,2023-01-23 14:00,1=14419.46|2=14667.58|3=14501.9|4=14555.22|5=14438.16|S=1|T=20230123T1900,15114,1,302735,-455,-0.15,35,0.01,-1940,-0.64,-57980,-0.01,1
3113,Entry long,2023-01-23 10:00,1=14303.21|2=14562.49|3=14398.01|4=14482.9|5=14364.11|S=1|T=20230123T1500,15136.75,1,302735,-455,-0.15,35,0.01,-1940,-0.64,-57980,-0.01,1
3114,Exit short,2023-01-23 18:00,1=14486.92|2=14693.46|3=14516.06|4=14555.82|5=14440.8|S=1|T=20230123T2300,15107.75,1,302280,125,0.04,465,0.15,-40,-0.01,-57855,-0.01,1
3114,Entry short,2023-01-23 14:00,1=14419.46|2=14667.58|3=14501.9|4=14555.22|5=14438.16|S=1|T=20230123T1900,15114,1,302280,125,0.04,465,0.15,-40,-0.01,-57855,-0.01,1
3115,Exit long,2023-01-23 22:00,1=14533.82|2=14712.42|3=14530|4=14557.21|5=14440.89|S=1|T=20230124T0300,15109.25,1,302155,30,0.01,310,0.10,-185,-0.06,-57825,-0.01,1
3115,Entry long,2023-01-23 18:00,1=14486.92|2=14693.46|3=14516.06|4=14555.82|5=14440.8|S=1|T=20230123T2300,15107.75,1,302155,30,0.01,310,0.10,-185,-0.06,-57825,-0.01,1
3116,Exit short,2023-01-24 02:00,1=14575.42|2=14741.14|3=14550.19|4=14562.91|5=14445.97|S=1|T=20230124T0700,15078.75,1,302185,610,0.20,930,0.31,-115,-0.04,-57215,-0.01,1
3116,Entry short,2023-01-23 22:00,1=14533.82|2=14712.42|3=14530|4=14557.21|5=14440.89|S=1|T=20230124T0300,15109.25,1,302185,610,0.20,930,0.31,-115,-0.04,-57215,-0.01,1
