trade_date,year,dow,roll_day,atr14_prior,prior_rth_close,gap,rth_open,rth_close,rth_high,rth_low,rth_high_min,rth_low_min,rth_vol,rth_ret,prior_sym,sym,p0930,p1000,p1030,p1100,p1130,p1200,p1230,p1300,p1330,p1400,p1430,p1500,p1515,p1530,p1545,p1600
2025-09-29,2025,0,0,229.625,24731.0,124.0,24855.0,24840.25,24975.5,24780.5,1009,1515,405952,-14.75,NQZ5,NQZ5,24855.0,24939.25,24953.5,24934.25,24868.25,24850.75,24858.0,24831.25,24831.5,24846.0,24859.5,24834.0,24788.5,24810.75,24826.75,24840.25
2025-09-30,2025,1,0,235.375,24840.25,-32.75,24807.5,24881.75,24913.75,24722.25,1554,0955,415908,74.25,NQZ5,NQZ5,24807.5,24787.5,24792.75,24851.5,24786.75,24813.25,24821.75,24777.25,24736.5,24767.5,24829.5,24840.25,24825.75,24861.75,24857.0,24881.75
2025-10-01,2025,2,0,233.66071428571428,24881.75,-134.75,24747.0,24998.5,25036.75,24726.0,1507,0950,352663,251.5,NQZ5,NQZ5,24747.0,24785.5,24888.5,24909.0,24897.5,24937.25,24948.0,24952.75,24976.5,25002.0,25015.25,25026.5,25025.75,25022.75,25007.75,24998.5
2025-10-02,2025,3,0,243.66071428571428,24998.5,143.5,25142.0,25121.5,25169.0,24993.75,0930,1104,363815,-20.5,NQZ5,NQZ5,25142.0,25059.75,25088.25,25028.25,25040.75,25069.0,25060.25,25070.5,25082.5,25089.0,25101.25,25112.75,25111.25,25118.0,25114.0,25121.5
2025-10-03,2025,4,0,244.92857142857142,25121.5,6.25,25127.75,25004.0,25168.0,24923.25,0953,1355,412115,-123.75,NQZ5,NQZ5,25127.75,25088.5,25089.5,25112.0,25131.25,25143.5,25140.5,25094.75,25025.25,24955.75,25035.0,25011.0,25004.25,25003.5,25020.0,25004.0
2025-10-06,2025,0,0,238.91071428571428,25004.0,194.0,25198.0,25180.5,25252.75,25108.5,1436,1042,313226,-17.5,NQZ5,NQZ5,25198.0,25173.5,25142.0,25150.0,25162.25,25208.5,25199.75,25201.25,25221.5,25222.75,25238.5,25234.75,25229.25,25217.0,25209.75,25180.5
2025-10-07,2025,1,0,249.44642857142858,25180.5,49.25,25229.75,25058.0,25264.75,24984.75,0956,1151,447206,-171.75,NQZ5,NQZ5,25229.75,25247.0,25212.25,25189.5,25063.0,25050.5,25052.0,25019.25,25045.5,25004.0,25031.0,25050.75,25040.75,25038.5,25065.5,25058.0
2025-10-08,2025,2,0,247.39285714285714,25058.0,34.0,25092.0,25322.25,25344.25,25074.0,1557,0930,349703,230.25,NQZ5,NQZ5,25092.0,25187.5,25213.25,25200.0,25233.25,25251.25,25248.0,25249.5,25265.75,25268.5,25285.75,25270.25,25299.25,25312.0,25304.0,25322.25
2025-10-09,2025,3,0,244.625,25322.25,-1.5,25320.75,25289.5,25334.75,25160.75,0931,1335,411777,-31.25,NQZ5,NQZ5,25320.75,25273.0,25243.5,25264.75,25228.0,25269.25,25254.0,25218.25,25171.25,25213.5,25213.5,25237.5,25244.25,25264.0,25271.75,25289.5
2025-10-10,2025,4,0,243.71428571428572,25289.5,25.75,25315.25,24404.5,25388.0,24384.25,0947,1559,798974,-910.75,NQZ5,NQZ5,25315.25,25360.0,25342.0,25107.5,24756.75,24789.25,24803.5,24662.75,24707.25,24654.75,24674.5,24623.0,24578.5,24542.5,24538.75,24404.5
