sm,n,mean_r,std_r,mabs_r,tstat,mean_2021,mean_2022,mean_2023,mean_2024,mean_2025,mean_2026,et
151,1409,0.07324343506030118,4.487334219929449,2.787224982256915,0.6126829340002267,-0.310810810810881,0.19418604651170687,0.011240310077567322,0.008494208494141071,0.31046511627899365,0.41367521367510174,20:31
152,1409,-0.09744499645136279,4.363485724328773,2.615826827537235,-0.8382652851708571,0.06563706563709373,0.08682170542629172,-0.18100775193802962,-0.14401544401535693,0.027131782945792837,-0.852136752136634,20:32
153,1409,0.021433640880062457,4.109637680178862,2.642867281760113,0.19577079828854665,-0.12471042471035167,0.23914728682173644,0.1984496124031318,-0.06602316602321659,0.06201550387596899,-0.4213675213676395,20:33
154,1409,0.13860894251240674,3.9097555620099875,2.51944641589778,1.3307520399473405,-0.011196911196916815,0.15193798449608456,-0.055038759689939404,0.3111969111968915,-0.29496124031010007,1.4418803418804103,20:34
155,1409,-0.15819730305181598,4.3320653855545395,2.604471256210107,-1.3707541485775203,-0.14054054054057424,-0.42403100775192953,0.06395348837213533,-0.09961389961388276,-0.6825581395349204,0.9256410256409572,20:35
156,1408,0.12180397727271952,3.7572222703544966,2.465980113636329,1.2164546114121373,0.2864864864865314,0.11860465116281325,-0.08100775193806065,0.2081081081080716,0.36666666666668923,-0.5250000000000439,20:36
157,1408,0.027485795454543386,3.948106772602057,2.506605113636376,0.26122861532705105,-0.092277992278026,0.12403100775188158,0.10387596899225934,-0.016988416988366423,0.3228682170542748,-0.6474137931034357,20:37
158,1409,-0.0619588360539307,4.814310713516797,2.580624556422999,-0.48308619962904026,-0.023938223938226748,-0.1503875968992079,-0.14961240310079776,-0.464092664092695,0.2507751937984947,0.4427350427351298,20:38
159,1409,-0.1838183108587806,3.643827827043274,2.355287437899177,-1.8935920404447664,-0.16370656370656933,-0.31589147286814656,0.11511627906978436,-0.10154440154442683,0.12015503875959122,-1.448717948718042,20:39
160,1409,-0.09332860184524935,3.9457676734573095,2.5613200851668068,-0.887848255772706,-0.2930501930501284,-0.1558139534884031,-0.22868217054260745,0.10579150579155355,-0.03449612403097109,0.21452991452996428,20:40
161,1409,0.022569198012774502,3.83263065010758,2.3683463449254663,0.22104192548193005,0.21467181467171073,-0.17868217054265823,-0.10465116279066947,-0.20424710424706774,0.29379844961244256,0.22564102564106917,20:41
162,1409,-0.10546486870122357,3.9678595109975885,2.4080908445706046,-0.9977162048706578,0.05714285714293861,-0.02248062015502184,-0.00852713178300496,0.01351351351341519,-0.2717054263566117,-0.7589743589743838,20:42
163,1409,0.00212916962383379,4.112665753161295,2.427679205110024,0.019433111542104753,-0.07451737451741385,-0.266279069767487,0.1984496124031036,-0.01969111969108598,0.04263565891472868,0.28974358974354,20:43
164,1409,0.04705464868701413,3.673302515106677,2.1897090134847326,0.48084082727824534,-0.061389961389952966,-0.01511627906973078,0.06434108527131219,0.16756756756755914,-0.13604651162791545,0.5230769230768982,20:44
165,1409,0.14875798438607807,4.624971588079368,2.6559261887863816,1.2073320027040064,0.13127413127407508,-0.5143410852713911,0.15348837209308813,0.03243243243240996,0.23062015503874558,1.7162393162394034,20:45
166,1409,0.13832505322927519,4.148396224190539,2.5542228530873152,1.2516304270203258,-0.06100386100380201,0.2271317829458154,0.02945736434106553,0.3463320463321194,-0.08992248062010146,0.6666666666665423,20:46
167,1408,0.018892045454544423,4.024209185404148,2.4214488636363387,0.17615694145660385,-0.12625482625481502,-0.09418604651158279,0.06201550387599719,0.21544401544395644,-0.14202334630358687,0.412820512820631,20:47
168,1408,0.08948863636362345,3.6599165213229554,2.327272727272758,0.9174830253741938,0.38416988416981396,-0.26744186046513035,-0.03488372093033126,0.381081081081112,0.1642023346304238,-0.31111111111109246,20:48
169,1409,-0.016749467707593006,3.3199084094442393,2.113271823988643,-0.1893783829815856,0.27413127413131627,-0.3236434108526991,0.03062015503879353,-0.15521235521234397,-0.1569767441861029,0.5273504273503403,20:49
170,1409,0.02625975869412221,4.2092557775455575,2.5224982256919652,0.23417520594397231,0.14247104247100595,0.0286821705426272,-0.1275193798449528,0.006177606177628652,0.2511627906977421,-0.3487179487179114,20:50
171,1409,0.0006387508871576247,3.9977308525674564,2.427466288147596,0.005997544251848756,0.4810810810810895,0.15155038759689357,0.012403100775210719,-0.2305019305019052,0.1434108527131219,-1.2247863247862565,20:51
172,1409,-0.03392476933993883,3.991241155186454,2.3044712562100833,-0.31905417422925403,-0.2768339768339094,0.034496124031027496,0.08565891472874704,0.08532818532813757,0.3027131782945962,-0.917094017094073,20:52
173,1409,0.05486160397440814,3.363629330010055,2.110929737402428,0.6122317760546003,0.0725868725868136,-0.09263565891476253,-0.014341085271405254,-0.005791505791533884,0.14612403100775476,0.42649572649567674,20:53
174,1409,-0.07366926898508239,3.2766798800172734,2.0990773598296553,-0.84393275371022,-0.006177606177586513,-0.21162790697679495,-0.013953488372129685,-0.05945945945935271,-0.045348837209305146,-0.1444444444443636,20:54
175,1409,-0.019872249822576946,3.6263803154576206,2.362952448545076,-0.20569758181363665,-0.012355212355243258,-0.06821705426350384,0.09844961240313461,0.16138996138986025,-0.18139534883717828,-0.23589743589751674,20:55
